urun_ismi,img_url,ilac_sirketi,barkod,recete_tipi,etken_madde,dsf,kamu_odenen,fiyat_farki,psf
Milupa UCD 1 450 gr,https://cdn.farmazonrx.com.tr/Products/Images/4bc0196f-c014-49fd-840f-a7a34a12ad68.jpg,Numil,8699745019150,Beyaz Reçete,,"2904,60 TL","3351,29 TL",-,"3765,49 TL"
TYR Express 25 gr 30 Adet,,Nestle,8690632760780,Beyaz Reçete,,"11096,67 TL","12608,33 TL",-,"14166,66 TL"
PKU Cooler 15 Portakal Aromalı 130 ml 30 Adet,https://cdn.farmazonrx.com.tr/Products/Images/70f80c1c-835c-4d12-a8b2-2f6fe800946c.jpg,Nestle,8690632760827,Beyaz Reçete,,"6419,79 TL","7323,45 TL",-,"8228,60 TL"
PKU Express 25 gr 30 Saşe,https://cdn.farmazonrx.com.tr/Products/Images/f8699f20-7e0f-4b78-96c9-a976a8c862c2.jpg,Nestle,8690632760735,Beyaz Reçete,,"5860,27 TL","6691,20 TL",-,"7518,20 TL"
MSUD Express 25 gr 30 Saşe,,Nestle,8690632760803,Beyaz Reçete,,"7786,19 TL","8851,97 TL",-,"12828,94 TL"
HCU Express 25 gr 30 Saşe,,Nestle,8690632760742,Beyaz Reçete,,"10494,73 TL","11920,37 TL",-,"15089,08 TL"
Milupa PKU 2 Secunda 500 gr,https://cdn.farmazonrx.com.tr/Products/Images/52c8f80c-8d3b-4c5a-be66-340d494c0008.jpg,Numil,8699745018900,Beyaz Reçete,,"2255,85 TL","2618,21 TL",-,"2941,81 TL"
Milupa PKU 2 Prima 500 gr,https://cdn.farmazonrx.com.tr/Products/Images/a7fbbb19-23b2-43ce-bb49-90112e4ddc39.jpg,Numil,8699745019631,Beyaz Reçete,,"2147,92 TL","2496,24 TL",-,"2804,76 TL"
Milupa PKU 1 500 gr,https://cdn.farmazonrx.com.tr/Products/Images/caefc4cc-b86a-4e9e-93bd-6d85d64b498b.jpg,Numil,8699745019129,Beyaz Reçete,,"1781,71 TL","2071,56 TL",-,"2762,08 TL"
Neocate 400 gr,https://cdn.farmazonrx.com.tr/Products/Images/abbc8852-4f63-4a49-9ae9-c4d06c2f6593.jpg,Numil,8699745001797,Beyaz Reçete,"Vitamin C - 7,1 mg/100 ml","634,39 TL","783,27 TL",-,"880,08 TL"
Milupa GA 1 500 gr,https://cdn.farmazonrx.com.tr/Products/Images/1cd2ddc4-ca8d-4a4b-ab0b-f224d25a6c03.jpg,Numil,8699745019082,Beyaz Reçete,,"5327,31 TL","6088,95 TL",-,"6841,52 TL"
Comida PKU B 500 gr,https://cdn.farmazonrx.com.tr/Products/Images/a7fbbb19-23b2-43ce-bb49-90112e4ddc39.jpg,Mamma,8697869420029,Beyaz Reçete,,"2258,18 TL","2620,84 TL",-,"2944,76 TL"
Fortimel Energy Multi Fibre Çilek Aromalı 200 ml,https://cdn.farmazonrx.com.tr/Products/Images/83c0a9f6-413e-4366-a93a-80c112f9f3a5.jpg,Numil,8699745001384,Beyaz Reçete,Vitamin C - 15 mg/100 ml,"44,16 TL","56,52 TL",-,"63,51 TL"
Fortimel Energy Multi Fibre Vanilya Aromalı 200 ml,https://cdn.farmazonrx.com.tr/Products/Images/5e0b91c8-4640-4f43-a713-ea6f8e9aeb50.jpg,Numil,8699745001360,Beyaz Reçete,Vitamin C - 15 mg/100 ml,"44,16 TL","56,52 TL",-,"63,51 TL"
Fortimel Energy Çikolata Aromalı 200 ml,https://cdn.farmazonrx.com.tr/Products/Images/7a0e094f-8caa-451e-a98b-84f226e74501.jpg,Numil,8699745001421,Beyaz Reçete,Vitamin C - 15 mg/100 ml,"57,46 TL","73,55 TL",-,"82,64 TL"
Fortimel Energy Muz Aromalı 200 ml,https://cdn.farmazonrx.com.tr/Products/Images/2dd603fd-7974-4305-9828-0d01878f2c8a.jpg,Numil,8699745001414,Beyaz Reçete,Vitamin C - 15 mg/100 ml,"57,46 TL","73,55 TL",-,"82,64 TL"
Nutrison Advanced Peptisorb 500 ml,https://cdn.farmazonrx.com.tr/Products/Images/c0e821f1-1541-4ef4-9141-feb4b4a63bee.jpg,Numil,8699711953242,Beyaz Reçete,Vitamin C - 10 mg/100 ml,"144,36 TL","184,78 TL",-,"313,19 TL"
Fortini Multi Fibre Vanilya Aromalı 200 ml,https://cdn.farmazonrx.com.tr/Products/Images/9c94d12c-dd4d-4622-b9fb-02bc2bfa5e18.jpg,Numil,8699745001803,Beyaz Reçete,Vitamin C - 15 mg/100 ml,"65,24 TL","83,51 TL",-,"93,83 TL"
Nutrison 500 ml,https://cdn.farmazonrx.com.tr/Products/Images/6ffcf445-7677-4878-b76e-e5df043e0bb5.jpg,Numil,8699711953143,Beyaz Reçete,Vitamin C - 10 mg/100 ml,"92,28 TL","118,12 TL",-,"171,19 TL"
Fortimel Energy Çilek Aromalı 200 ml,https://cdn.farmazonrx.com.tr/Products/Images/f81dde79-1431-473f-98ae-70277e0119d6.jpg,Numil,8699745001391,Beyaz Reçete,Vitamin C - 15 mg/100 ml,"57,46 TL","73,55 TL",-,"82,64 TL"
Nutrini 200 ml,https://cdn.farmazonrx.com.tr/Products/Images/143eab0b-b1ee-4e5a-baa9-5ff90a611788.jpg,Numil,8699711953204,Beyaz Reçete,Vitamin C - 10 mg/100 ml,"62,04 TL","79,41 TL",-,"89,23 TL"
Nutrini Energy 200 ml,https://cdn.farmazonrx.com.tr/Products/Images/dab5a2bb-9d5a-4178-a38c-c2c4b25812ea.jpg,Numil,8699711953235,Beyaz Reçete,Vitamin C - 15 mg/100 ml,"79,00 TL","101,12 TL",-,"113,62 TL"
Isosource Protein Vanilya Aromalı 500 ml,https://cdn.farmazonrx.com.tr/Products/Images/c12fb594-0fd5-4b9c-b3a5-d9794f3acc16.jpg,Nestle,8690632990057,Beyaz Reçete,Vitamin C - 14 mg/100 ml,"114,45 TL","146,50 TL",-,"248,30 TL"
Osmolite 500 ml,https://cdn.farmazonrx.com.tr/Products/Images/57c2af08-e94c-44be-8d65-2e41e72aa16f.jpg,Abbott,8699548990663,Beyaz Reçete,Vitamin C - 10 mg/100 ml,"85,05 TL","108,87 TL",-,"157,78 TL"
Glucerna SR Çikolata Aromalı 230 ml,https://cdn.farmazonrx.com.tr/Products/Images/aaa1396f-ef5c-4e3c-961a-1faebf8886b1.jpg,Abbott,8699548994937,Beyaz Reçete,Vitamin C - 9 mg/100 ml,"79,00 TL","101,12 TL",-,"113,62 TL"
R-X 150 g/240 ml Süspansiyon 240 ml,https://cdn.farmazonrx.com.tr/Products/Images/ae7a1869-4ad7-42eb-bd9b-9c9824b47929.jpg,Avixa,8699730700100,Beyaz Reçete,Baryum - 150 g/240 ml,"63,10 TL",Ödenmez,-,"80,77 TL"
E.Z. Cat Baryum Sülfat 11.025 g/225 ml Süspansiyon 225 ml,,Opakim,8699688702256,Beyaz Reçete,"Baryum - 11,025 g/225 ml","84,82 TL",Ödenmez,-,"108,57 TL"
Polibar Süspansiyon İçin Toz 397 gr,,Opakim,8699688283977,Beyaz Reçete,Baryum - 397 g,"110,34 TL",Ödenmez,-,"141,23 TL"
Pulmocare Vanilya Aromalı 250 ml,https://cdn.farmazonrx.com.tr/Products/Images/f039a79b-a10e-4c01-a4a3-8b7c1b4fe5e4.jpg,Abbott,8699548990342,Beyaz Reçete,Vitamin C - 15 mg/100 ml,"68,89 TL","88,18 TL",-,"99,08 TL"
Impact Glutamine 500 ml,https://cdn.farmazonrx.com.tr/Products/Images/f652fbee-cb46-448f-98b4-7e24d09dc89f.jpg,Nestle,8690632990040,Beyaz Reçete,"Çinko - 1,5 mg/100 ml
Demir - 1,2 mg/100 ml
Karbonhidratlar - 14,5 g/100 ml","305,12 TL","383,03 TL",-,"649,20 TL"
Ultravist 370 mg/ml Enjeksiyon/İnfüzyon İçin Çözelti 500 ml 1 Flakon,https://cdn.farmazonrx.com.tr/Products/Images/6ba526a0-57ef-44df-b9cc-a2362d32eb5f.jpg,Bayer,8699546774142,Beyaz Reçete,İyopromid - 769 mg/ml,"4017,58 TL","4017,58 TL",-,"0,00 TL"
Bridion 200 mg/2 ml IV Enjeksiyonluk Çözelti 2 ml 10 Flakon,https://cdn.farmazonrx.com.tr/Products/Images/af3e91b1-f9d3-41ff-95d2-954b3cc7e800.jpg,Merck Sharp Dohme,8699636771020,Beyaz Reçete,Sugammadeks - 200 mg/2 ml,"10086,39 TL","9039,44 TL","1046,95 TL","0,00 TL"
"Pamiray 300 0,612 g/ml Enjektabl Steril Solüsyon İçeren Flakon 100 ml 1 Adet",https://cdn.farmazonrx.com.tr/Products/Images/ed1795e9-ef5c-4196-ba3c-95f9690dc251.jpg,Biem,8699702775020,Beyaz Reçete,"İyopamidol - 0,612 g/ml","687,25 TL","832,49 TL",-,"1156,24 TL"
Omnipaque 300 mgi/ml IV/IA/IT Enjeksiyon İçin Çözelti İçeren Flakon 50 ml 1 Adet,https://cdn.farmazonrx.com.tr/Products/Images/37820bc2-d343-4d49-b872-0e82c30abdaf.jpg,Opakim,8699688771443,Beyaz Reçete,İyoheksol - 300 mgI/ml,"419,64 TL","523,23 TL",-,"726,71 TL"
Opaxol 350 mgi/ml IA/IV Intratekal Enjeksiyonluk Çözelti 50 ml 1 Flakon,https://cdn.farmazonrx.com.tr/Products/Images/8d7b0a07-c863-4b0b-8409-939a82c06db3.jpg,MDS,8682279997438,Beyaz Reçete,İyoheksol - 350 mgI/ml,"481,39 TL","596,09 TL",-,"827,90 TL"
Opaxol 350 mgi/ml IA/IV Intratekal Enjeksiyonluk Çözelti 200 ml 1 Flakon,https://cdn.farmazonrx.com.tr/Products/Images/43f4d0e9-a45c-4946-9135-476ec98d1df2.jpg,MDS,8682279997452,Beyaz Reçete,İyoheksol - 350 mgI/ml,"1589,62 TL","1852,16 TL",-,"2572,44 TL"
Opaxol 300 mgi/ml IA/IV Intratekal Enjeksiyonluk Çözelti 50 ml 1 Flakon,https://cdn.farmazonrx.com.tr/Products/Images/6193f05e-2845-4d47-b232-0a02d09959f9.jpg,MDS,8682279997414,Beyaz Reçete,İyoheksol - 300 mgI/ml,"419,64 TL","523,23 TL",-,"726,71 TL"
Vexperda 360 mg 30 Film Kaplı Tablet,https://cdn.farmazonrx.com.tr/Products/Images/ae75c587-e38b-42c3-aaa3-685603ffe8d7.jpg,EİP Eczacıbaşı İlaç Pazarlama,8699074090851,,Deferasiroks - 360 mg,"3176,53 TL","3645,37 TL",-,"5063,02 TL"
Vexperda 180 mg 30 Film Kaplı Tablet,https://cdn.farmazonrx.com.tr/Products/Images/6560233a-b0e1-4f34-a2df-fb8daca0ba1c.jpg,EİP Eczacıbaşı İlaç Pazarlama,8699074090837,,Deferasiroks - 180 mg,"2141,77 TL","2476,09 TL",-,"3439,02 TL"
Vexperda 90 mg 30 Film Kaplı Tablet,https://cdn.farmazonrx.com.tr/Products/Images/c777e080-f5f1-49d6-9654-456447993409.jpg,EİP Eczacıbaşı İlaç Pazarlama,8699074090813,,Deferasiroks - 90 mg,"1081,37 TL","1277,84 TL",-,"1774,78 TL"
Oxfet 90 mg 30 Film Kaplı Tablet,https://cdn.farmazonrx.com.tr/Products/Images/7fb7a8c6-95db-43e0-8cab-59e2adc57575.jpg,Santa Farma,8699527090872,,Deferasiroks - 90 mg,"1081,37 TL","1277,84 TL",-,"1774,78 TL"
Oxfet 360 mg 30 Film Kaplı Tablet,https://cdn.farmazonrx.com.tr/Products/Images/ffdb7ef7-4037-4065-aa34-09352a62193a.jpg,Santa Farma,8699527090919,,Deferasiroks - 360 mg,"3176,53 TL","3645,37 TL",-,"5063,02 TL"
Oxfet 180 mg 30 Film Kaplı Tablet,https://cdn.farmazonrx.com.tr/Products/Images/24684fe0-a313-4d87-a874-bc1e741cd8a9.jpg,Santa Farma,8699527090896,,Deferasiroks - 180 mg,"2141,78 TL","2476,10 TL",-,"3439,03 TL"
"Clariscan 0,5 mmol/ml Enjeksiyonluk Çözelti 20 ml 1 Flakon",https://cdn.farmazonrx.com.tr/Products/Images/fcbee801-9767-42d0-b226-b88ae6c012b3.jpg,Opakim,8699688770026,Beyaz Reçete,"Meglumin gadoterat - 279,3 mg/ml","556,47 TL","631,29 TL","53,40 TL","950,96 TL"
"Clariscan 0,5 mmol/ml Enjeksiyonluk Çözelti 15 ml 1 Flakon",https://cdn.farmazonrx.com.tr/Products/Images/f69aee44-b07f-416e-9974-182e5991eeab.jpg,Opakim,8699688770019,Beyaz Reçete,"Meglumin gadoterat - 279,3 mg/ml","434,09 TL","500,78 TL","39,50 TL","750,39 TL"
"Clariscan 0,5 mmol/ml Enjeksiyonluk Çözelti 10 ml 1 Adet",,Opakim,8699688770002,Beyaz Reçete,"Meglumin gadoterat - 279,3 mg/ml","294,66 TL","345,81 TL","29,94 TL","521,88 TL"
Zeno 180 mg 30 Film Kaplı Tablet,https://cdn.farmazonrx.com.tr/Products/Images/50562225-4972-49bc-a8c3-3f19237c509f.jpg,Nobel İlaç,8699540023482,,Deferasiroks - 180 mg,"2141,78 TL","2476,10 TL",-,"3439,03 TL"
Ferout S 500 mg 28 Suda Dağılabilen Tablet,https://cdn.farmazonrx.com.tr/Products/Images/9a90ca13-71c5-4776-aaab-bf34792d03bf.jpg,Ali Raif,8699543070377,,Deferasiroks - 500 mg,"5395,40 TL","6152,70 TL",-,"8545,41 TL"
Ferout S 250 mg 28 Suda Dağılabilen Tablet,https://cdn.farmazonrx.com.tr/Products/Images/4a635238-27c0-463d-a140-ae65b5b5acf5.jpg,Ali Raif,8699543070360,,Deferasiroks - 250 mg,"3092,37 TL","3550,28 TL",-,"4930,94 TL"
Ferout S 125 mg 28 Suda Dağılabilen Tablet,https://cdn.farmazonrx.com.tr/Products/Images/ccedeb48-ab84-46bb-af50-d190b06af959.jpg,Ali Raif,8699543070353,,Deferasiroks - 125 mg,"1556,56 TL","1814,81 TL",-,"2520,57 TL"
Zeno 360 mg 30 Film Kaplı Tablet,https://cdn.farmazonrx.com.tr/Products/Images/7f9579c9-c2de-446f-a266-fbfc5784a18e.jpg,Nobel İlaç,8699540023499,,Deferasiroks - 360 mg,"3176,53 TL","3645,37 TL",-,"5063,02 TL"
Zeno 90 mg 30 Film Kaplı Tablet,https://cdn.farmazonrx.com.tr/Products/Images/42bdc832-5059-42fb-b1b4-b4cfbb69e76d.jpg,Nobel İlaç,8699540023475,,Deferasiroks - 90 mg,"1081,37 TL","1277,84 TL",-,"1774,78 TL"
Ferout 360 mg 30 Film Kaplı Tablet,https://cdn.farmazonrx.com.tr/Products/Images/adac497c-06bc-4b57-a171-e06dd7278a80.jpg,Ali Raif,8699543091716,,Deferasiroks - 360 mg,"3176,53 TL","3645,37 TL",-,"5063,02 TL"
Ferout 180 mg 30 Film Kaplı Tablet,https://cdn.farmazonrx.com.tr/Products/Images/4d086abe-a60a-42d6-9784-a1cbe7713e10.jpg,Ali Raif,8699543091709,,Deferasiroks - 180 mg,"2141,78 TL","2476,10 TL",-,"3439,03 TL"
Ferout 90 mg 30 Film Kaplı Tablet,https://cdn.farmazonrx.com.tr/Products/Images/d13acec5-c41c-4acf-ba66-a2a39da8e789.jpg,Ali Raif,8699543091693,,Deferasiroks - 90 mg,"1081,37 TL","1277,84 TL",-,"1774,78 TL"
Fuarte 500 mg 28 Suda Dağılabilen Tablet,https://cdn.farmazonrx.com.tr/Products/Images/fe371d6b-8472-4dac-97c1-0ade4327b7ec.jpg,Abdi İbrahim,8699514070139,,Deferasiroks - 500 mg,"5395,40 TL","6152,70 TL",-,"8545,41 TL"
Fuarte 250 mg 28 Suda Dağılabilen Tablet,https://cdn.farmazonrx.com.tr/Products/Images/e519f0ac-6ad9-4045-a00a-4d18ab0d3694.jpg,Abdi İbrahim,8699514070122,,Deferasiroks - 250 mg,"2941,80 TL","3380,13 TL",-,"4694,63 TL"
Fuarte 125 mg 28 Suda Dağılabilen Tablet,https://cdn.farmazonrx.com.tr/Products/Images/90b50281-29de-441e-8db6-b881d8bd2638.jpg,Abdi İbrahim,8699514070115,,Deferasiroks - 125 mg,"1479,16 TL","1727,34 TL",-,"2399,09 TL"
Febind 250 mg 28 Suda Dağılabilen Tablet,https://cdn.farmazonrx.com.tr/Products/Images/4b09c565-95bf-4b1d-98de-8ad0c798a8d4.jpg,Farma-Tek,8699738070021,,Deferasiroks - 250 mg,"3092,37 TL","3550,28 TL",-,"4930,94 TL"
Febind 125 mg 28 Suda Dağılabilen Tablet,https://cdn.farmazonrx.com.tr/Products/Images/6deabc44-0853-4738-8cb0-34bb31350723.jpg,Farma-Tek,8699738070014,,Deferasiroks - 125 mg,"2161,89 TL",Ödenmez,-,"2520,57 TL"
Oniyonix 300 mgi/ml IV/IA/IT Enjeksiyon İçin Çözelti İçeren Flakon 100 ml 1 Adet,https://cdn.farmazonrx.com.tr/Products/Images/f2083f10-b790-4a57-8c13-271acf4c60d6.jpg,Monemfarma,8681793774020,Beyaz Reçete,İyoheksol - 300 mgI/ml,"776,08 TL","864,57 TL","68,30 TL","1295,65 TL"
Denaksat 1 mg/10 ml IV Enjeksiyon İçin Çözelti İçeren Ampul 10 ml 5 Adet,https://cdn.farmazonrx.com.tr/Products/Images/9a5810e9-5f51-4f6c-ae5f-449e8cd2b522.jpg,Saba,8699511750027,Beyaz Reçete,Flumazenil - 1 mg/10 ml,"989,27 TL","1173,77 TL",-,"1630,24 TL"
"Denaksat 0,5 mg/5 ml IV Enjeksiyon İçin Çözelti İçeren Ampul 5 ml 5 Adet",https://cdn.farmazonrx.com.tr/Products/Images/bad5f71e-d84a-4983-8e37-ac88ba84cae2.jpg,Saba,8699511750010,Beyaz Reçete,"Flumazenil - 0,5 mg/5 ml","430,26 TL","535,77 TL",-,"744,13 TL"
Fesor 500 mg 28 Dağılabilir Tablet,https://cdn.farmazonrx.com.tr/Products/Images/3f85d5e7-94a3-44b8-b48c-7a824a2358f1.jpg,Sanovel,8699536070285,,Deferasiroks - 500 mg,"5732,12 TL","6445,68 TL","87,51 TL","9073,87 TL"
Fesor 250 mg 28 Dağılabilir Tablet,https://cdn.farmazonrx.com.tr/Products/Images/1ddf966d-1b07-418d-99c1-76f1f4d737a7.jpg,Sanovel,8699536070261,,Deferasiroks - 250 mg,"3105,99 TL","3565,66 TL",-,"4952,31 TL"
Kopaq 350 mgl/ml Enjeksiyonluk Çözelti İçeren Flakon 200 ml 1 Adet,https://cdn.farmazonrx.com.tr/Products/Images/1fc0cc54-9c37-46f4-bdf3-e9e06d32408b.jpg,Koçsel,8699715771927,Beyaz Reçete,İyoheksol - 350 mgI/ml,"1589,62 TL","1852,16 TL",-,"2572,44 TL"
Kopaq 350 mgl/ml Enjeksiyonluk Çözelti İçeren Flakon 100 ml 1 Adet,https://cdn.farmazonrx.com.tr/Products/Images/6b15d91a-a3af-4bc0-9694-523e620fd7fb.jpg,Koçsel,8699715771910,Beyaz Reçete,İyoheksol - 350 mgI/ml,"872,66 TL","994,09 TL","47,91 TL","1447,22 TL"
Kopaq 350 mgl/ml Enjeksiyonluk Çözelti İçeren Flakon 50 ml 1 Adet,https://cdn.farmazonrx.com.tr/Products/Images/0b55b779-0db5-421a-8edc-ca50fd3d0fec.jpg,Koçsel,8699715771903,Beyaz Reçete,İyoheksol - 350 mgI/ml,"481,39 TL","596,09 TL",-,"827,90 TL"
"Fluxate 0,5 mg/5 ml IV Enjeksiyon İçin Çözelti İçeren Ampul 5 ml 5 Adet",https://cdn.farmazonrx.com.tr/Products/Images/0ea8e26b-a1fa-4842-b924-cd9600b5ffe5.jpg,Pharmada,8699742750179,Beyaz Reçete,"Flumazenil - 0,5 mg/5 ml","648,49 TL","575,49 TL","213,20 TL","1095,40 TL"
Folca 15 mg 100 Tablet,https://cdn.farmazonrx.com.tr/Products/Images/1e31bf4b-6440-4c91-a761-ae0693ad7804.jpg,Atabay,8699717090378,Beyaz Reçete,Kalsiyum folinat - 15 mg,"6203,66 TL","7066,03 TL",-,"9813,93 TL"
Biemexol 350 mgi/ml IV/IA/IT Enjeksiyon İçin Çözelti İçeren Flakon 200 ml 1 Adet,https://cdn.farmazonrx.com.tr/Products/Images/1fc0cc54-9c37-46f4-bdf3-e9e06d32408b.jpg,Biem,8699702774054,Beyaz Reçete,İyoheksol - 350 mgI/ml,"1589,62 TL","1852,16 TL",-,"2572,44 TL"
Biemexol 350 mgi/ml IV/IA/IT Enjeksiyon İçin Çözelti İçeren Flakon 50 ml 1 Adet,https://cdn.farmazonrx.com.tr/Products/Images/f22b3a97-8b2e-4135-9bb7-ed5351032566.jpg,Biem,8699702774030,Beyaz Reçete,İyoheksol - 350 mgI/ml,"481,39 TL","596,09 TL",-,"827,90 TL"
Blumet 50 mg/5 ml IV Enjeksiyon İçin Çözelti İçeren Ampul 1 Adet,https://cdn.farmazonrx.com.tr/Products/Images/190f5ce2-0759-4875-97e5-1c47ca217b88.jpg,Vem,8680184750063,Beyaz Reçete,Metiltioninyum klorür - 50 mg/5 ml,"295,84 TL","377,15 TL",-,"523,82 TL"
Blumet 100 mg/10 ml IV Enjeksiyon İçin Çözelti İçeren Ampul 1 Adet,https://cdn.farmazonrx.com.tr/Products/Images/5b76e6b5-9b5f-4da3-80b5-73779a45f829.jpg,Vem,8680184750056,Beyaz Reçete,Metiltioninyum klorür - 100 mg/10 ml,"577,23 TL","708,16 TL",-,"983,56 TL"
Antax 1000 mg Oral Toz İçeren Saşe 90 Adet,https://cdn.farmazonrx.com.tr/Products/Images/4fb75b9b-7638-419f-90b6-987c2c8f569e.jpg,Nobel İlaç,8699262240105,Beyaz Reçete,Lantanum karbonat - 1000 mg,"2590,91 TL","2983,62 TL",-,"4143,92 TL"
Antax 750 mg Oral Toz İçeren Saşe 90 Adet,https://cdn.farmazonrx.com.tr/Products/Images/358b2850-4fdc-4565-9051-b7c5d24c36d0.jpg,Nobel İlaç,8699262240082,Beyaz Reçete,Lantanum karbonat - 750 mg,"2022,92 TL","2341,79 TL",-,"3252,49 TL"
Antax 500 mg Oral Toz İçeren Saşe 90 Adet,https://cdn.farmazonrx.com.tr/Products/Images/ccd108a0-3ae3-45bb-b7ad-8a9e0c506662.jpg,Nobel İlaç,8699262240068,Beyaz Reçete,Lantanum karbonat - 500 mg,"1519,38 TL","1772,79 TL",-,"2462,21 TL"
Allergovit A+B Flakon 3 ml 2 Adet,,Allergo,8697791967777,Beyaz Reçete,,"5917,45 TL",Ödenmez,-,"6732,01 TL"
Kopaq 300 mgl/ml Enjeksiyonluk Çözelti İçeren Flakon 50 ml 1 Adet,https://cdn.farmazonrx.com.tr/Products/Images/a986416d-c58c-4c35-9119-db316a142a7a.jpg,Koçsel,8699715771842,Beyaz Reçete,İyoheksol - 300 mgI/ml,"419,64 TL","523,23 TL",-,"726,71 TL"
Fix-At 475 mg 180 Film Tablet,https://cdn.farmazonrx.com.tr/Products/Images/2b1c741f-a059-4265-b708-0fd179f2b186.jpg,Abdi İbrahim,8699514093060,Beyaz Reçete,Kalsiyum asetat - 475 mg,"184,80 TL","236,54 TL",-,"328,53 TL"
Fix-At 950 mg 180 Film Tablet,https://cdn.farmazonrx.com.tr/Products/Images/8cdf4370-998a-40a9-8ef9-661f35534b76.jpg,Abdi İbrahim,8699514093107,Beyaz Reçete,Kalsiyum asetat - 950 mg,"368,76 TL","463,18 TL",-,"643,31 TL"
"Novo-Helisen SC Depot Flakon 4,5 ml 1 Adet",,Allergo,8697791963335,Beyaz Reçete,Alerjen ekstreleri - 0 g,"4167,91 TL",Ödenmez,-,"4755,03 TL"
Ferriprox 500 mg 100 Film Kaplı Tablet,https://cdn.farmazonrx.com.tr/Products/Images/fd3e5070-a7a1-4d90-9311-b8fef17289a3.jpg,Chiesi,8699822090287,Beyaz Reçete,Deferipron - 500 mg,"6256,57 TL","7115,72 TL",-,"12060,54 TL"
Ferriprox 100 mg/ml Şurup 500 ml,https://cdn.farmazonrx.com.tr/Products/Images/1d1f19b7-9769-477b-9278-ad81d7292c36.jpg,Chiesi,8699822570291,Beyaz Reçete,Deferipron - 100 mg/ml,"10531,71 TL","5929,34 TL",-,"11978,46 TL"
"Primovist 0,25 mmol/ml IV Enjektabl Solüsyon İçeren Kullanıma Hazır Enjektör 10 ml 1 Adet",https://cdn.farmazonrx.com.tr/Products/Images/bf377cce-6192-42cf-89c0-d09c7d25b1db.jpg,Bayer,8699546959341,Beyaz Reçete,"Gadoksetik asit - 181,43 mg/ml","1605,87 TL","1860,43 TL",-,"3153,27 TL"
"Pamiray 370 0,755 g/ml Enjeksiyonluk Çözelti İçeren Flakon 100 ml 1 Adet",,Biem,8699702775044,Beyaz Reçete,"İyopamidol - 0,755 g/ml","770,12 TL","926,13 TL",-,"1286,29 TL"
"Pamiray 370 0,755 g/ml Enjeksiyonluk Çözelti İçeren Flakon 50 ml 1 Adet",,Biem,8699702775037,Beyaz Reçete,"İyopamidol - 0,755 g/ml","406,94 TL","508,24 TL",-,"705,89 TL"
Omnipaque 350 mgi/ml IV/IA Enjeksiyon İçin Çözelti İçeren Flakon 50 ml 1 Adet,https://cdn.farmazonrx.com.tr/Products/Images/f22b3a97-8b2e-4135-9bb7-ed5351032566.jpg,Opakim,8699688771542,Beyaz Reçete,İyoheksol - 350 mgI/ml,"481,39 TL","596,09 TL",-,"827,90 TL"
"Dotarem 0,5 mmol/ml Enjeksiyonluk Çözelti İçeren Flakon 20 ml 1 Adet",https://cdn.farmazonrx.com.tr/Products/Images/960f0f2b-ccf5-4f9c-83c7-d4a4f80dea9c.jpg,Guerbet,8699679775023,Beyaz Reçete,"Meglumin gadoterat - 279,32 mg/ml","515,15 TL","631,29 TL","4,64 TL","883,24 TL"
"Dotarem 0,5 mmol/ml Enjeksiyonluk Çözelti İçeren Flakon 15 ml 1 Adet",https://cdn.farmazonrx.com.tr/Products/Images/f69aee44-b07f-416e-9974-182e5991eeab.jpg,Guerbet,8699679775016,Beyaz Reçete,"Meglumin gadoterat - 279,32 mg/ml","398,53 TL","498,33 TL",-,"692,12 TL"
"Dotarem 0,5 mmol/ml Enjeksiyonluk Çözelti İçeren Flakon 10 ml 1 Adet",,Guerbet,8699679775009,Beyaz Reçete,"Meglumin gadoterat - 279,32 mg/ml","270,70 TL","345,81 TL","0,69 TL","481,25 TL"
Xenetix 350 350 mg Iyot/ml Enjeksiyonluk Solüsyon 100 ml 1 Flakon,,Guerbet,8699679774309,Beyaz Reçete,"İobitridol - 767,8 mg/ml","648,49 TL","778,61 TL",-,"1319,67 TL"
Xenetix 300 300 mg Iyot/ml Enjeksiyonluk Solüsyon 100 ml 1 Flakon,,Guerbet,8699679774101,Beyaz Reçete,"İobitridol - 658,1 mg/ml","570,76 TL","690,76 TL",-,"1170,78 TL"
Lipiodol Ultra Fluide 480 mg/ml Enjeksiyonluk Çözelti 10 ml 1 Ampul,,Guerbet,8699679750105,Beyaz Reçete,İyot - 480 mg/ml,"8550,98 TL","9718,50 TL",-,"13497,91 TL"
Xenetix 350 350 mg Iyot/ml Enjeksiyonluk Solüsyon 200 ml 1 Flakon,,Guerbet,8699679694508,Beyaz Reçete,"İobitridol - 767,8 mg/ml","1092,40 TL","1280,22 TL",-,"2169,86 TL"
Ketosteril 100 Film Tablet,https://cdn.farmazonrx.com.tr/Products/Images/351bb58b-24f4-48f3-9dad-9b76644eff82.jpg,Fresenius Kabi,8699630090257,Beyaz Reçete,,"732,01 TL","883,06 TL",-,"1226,47 TL"
Uromitexan 400 mg/4 ml IV Enjeksiyonluk Çözelti İçeren Ampul 4 ml 15 Adet,https://cdn.farmazonrx.com.tr/Products/Images/d04fa55f-9034-4986-a3cd-580fdda3a942.jpg,Baxter,8699586753268,Beyaz Reçete,Mesna - 400 mg/4 ml,"1303,23 TL","1534,37 TL",-,"1930,02 TL"
